2.788441626710419161e-02,2.912690355329949909e-02,1.631824112503763718e-02
3.802188699683004547e-01,3.275228426395939696e-01,4.124606656000377458e-01
5.425713238925082837e-01,5.609746192893402261e-01,4.604825806908685037e-01
4.037306656896633150e-02,6.236548223350255049e-02,5.531907356787361257e-02
4.173503034550869392e-03,6.035532994923859147e-03,1.485408634970864471e-02
1.234528569380505562e-03,3.243654822335026357e-03,1.475372090139980170e-02
9.398346528187073636e-04,1.944162436548223715e-03,5.431541908478518775e-03
4.938114277522021815e-04,2.182741116751269546e-04,6.128196196739893291e-03
3.106233174570304412e-04,6.340101522842641474e-03,3.642675388620919899e-03
1.800022301161253134e-03,2.228426395939087003e-03,1.060921827123467200e-02
